monster1,monster2,monster1_win_pct,monster2_win_pct
Giant Ape,Young Bronze Dragon,69.1%,30.9%
Giant Goat,Gnoll,69.1%,30.9%
Gladiator,Otyugh,69.1%,30.9%
Ice Devil,Treant,69.1%,30.9%
Imp,Pony,69.1%,30.9%
Kobold,Stirge,69.1%,30.9%
Magmin,Pony,69.1%,30.9%
Young Blue Dragon,Young Bronze Dragon,69.1%,30.9%
Cloaker,Fire Elemental,30.9%,69.1%
Deep Gnome (Svirfneblin),Warhorse,30.9%,69.1%
Giant Badger,Giant Crab,30.9%,69.1%
Giant Constrictor Snake,Gold Dragon Wyrmling,30.9%,69.1%
Gibbering Mouther,Nightmare,30.9%,69.1%
Invisible Stalker,Rakshasa,30.9%,69.1%
Kraken,Pit Fiend,30.9%,69.1%
Reef Shark,Satyr,30.9%,69.1%
Ancient Brass Dragon,Remorhaz,69.2%,30.8%
Constrictor Snake,Giant Weasel,69.2%,30.8%
Giant Crab,Goblin,69.2%,30.8%
Giant Wasp,Giant Weasel,69.2%,30.8%
Gray Ooze,Grimlock,69.2%,30.8%
Ankheg,Sea Hag,30.8%,69.2%
Copper Dragon Wyrmling,Tiger,30.8%,69.2%
Giant Boar,Griffon,30.8%,69.2%
Giant Poisonous Snake,Orc,30.8%,69.2%
Giant Poisonous Snake,Spy,30.8%,69.2%
Giant Wolf Spider,Sahuagin,30.8%,69.2%
Green Hag,"Vampire, Bat Form",30.8%,69.2%
Plesiosaurus,Salamander,30.8%,69.2%
Reef Shark,Warhorse,30.8%,69.2%
Ettercap,Giant Toad,69.3%,30.7%
Giant Bat,Hobgoblin,69.3%,30.7%
Giant Spider,Warhorse,69.3%,30.7%
Ice Devil,Roper,69.3%,30.7%
Noble,Tribal Warrior,69.3%,30.7%
Young Black Dragon,Young Copper Dragon,69.3%,30.7%
Bandit Captain,Blue Dragon Wyrmling,30.7%,69.3%
Black Bear,Deep Gnome (Svirfneblin),30.7%,69.3%
Boar,Guard,30.7%,69.3%
Bugbear,Gelatinous Cube,30.7%,69.3%
Flying Sword,Warhorse,30.7%,69.3%
Giant Weasel,Priest,30.7%,69.3%
Specter,Tiger,30.7%,69.3%
Awakened Shrub,Vulture,69.4%,30.6%
Blue Dragon Wyrmling,Manticore,69.4%,30.6%
Chimera,Chuul,69.4%,30.6%
Djinni,Triceratops,69.4%,30.6%
Druid,Ice Mephit,69.4%,30.6%
Giant Eagle,Orc,69.4%,30.6%
Gnoll,Swarm of Bats,69.4%,30.6%
Owlbear,"Wereboar, Human Form",69.4%,30.6%
Polar Bear,Swarm of Quippers,69.4%,30.6%
Blink Dog,Flying Sword,30.6%,69.4%
Gelatinous Cube,Ogre,30.6%,69.4%
Giant Owl,Harpy,30.6%,69.4%
Giant Owl,Lion,30.6%,69.4%
Otyugh,"Vampire, Bat Form",30.6%,69.4%
Saber-Toothed Tiger,Vampire Spawn,30.6%,69.4%
"Vampire, Bat Form","Vampire, Vampire Form",30.6%,69.4%
Adult Brass Dragon,Androsphinx,30.5%,69.5%
Animated Armor,Giant Toad,69.5%,30.5%
Bronze Dragon Wyrmling,Gibbering Mouther,30.5%,69.5%
Chimera,Killer Whale,30.5%,69.5%
Draft Horse,Reef Shark,69.5%,30.5%
Duergar,White Dragon Wyrmling,30.5%,69.5%
Giant Eagle,Swarm of Ravens,69.5%,30.5%
Giant Goat,Mage,30.5%,69.5%
Giant Spider,Tiger,30.5%,69.5%
Mastiff,Quasit,30.5%,69.5%
Black Bear,Giant Sea Horse,69.6%,30.4%
Black Dragon Wyrmling,Warhorse Skeleton,69.6%,30.4%
Draft Horse,"Wererat, Hybrid Form",69.6%,30.4%
Draft Horse,"Wererat, Rat Form",69.6%,30.4%
Drider,Gibbering Mouther,69.6%,30.4%
Druid,Giant Weasel,69.6%,30.4%
Dust Mephit,Noble,69.6%,30.4%
Elk,Imp,69.6%,30.4%
Giant Octopus,Will-o'-Wisp,69.6%,30.4%
Hunter Shark,Succubus/Incubus,69.6%,30.4%
Tiger,"Werewolf, Human Form",69.6%,30.4%
Animated Armor,Giant Boar,30.4%,69.6%
Ape,Swarm of Beetles,30.4%,69.6%
Ape,Swarm of Centipedes,30.4%,69.6%
Ape,Swarm of Insects,30.4%,69.6%
Ape,Swarm of Spiders,30.4%,69.6%
Ape,Swarm of Wasps,30.4%,69.6%
Bandit,Giant Crab,30.4%,69.6%
Death Dog,Warhorse Skeleton,30.4%,69.6%
Skeleton,Swarm of Rats,30.4%,69.6%
Acolyte,Eagle,69.7%,30.3%
Basilisk,Bronze Dragon Wyrmling,69.7%,30.3%
Blink Dog,Magmin,69.7%,30.3%
Chain Devil,Ettin,69.7%,30.3%
Deep Gnome (Svirfneblin),Swarm of Bats,69.7%,30.3%
Drider,Manticore,69.7%,30.3%
Earth Elemental,Hydra,69.7%,30.3%
Ettin,Minotaur Skeleton,69.7%,30.3%
Giant Goat,Lizardfolk,69.7%,30.3%
Knight,Silver Dragon Wyrmling,69.7%,30.3%
Merrow,Will-o'-Wisp,69.7%,30.3%
Spirit Naga,"Wereboar, Boar Form",69.7%,30.3%
Spirit Naga,"Wereboar, Hybrid Form",69.7%,30.3%
Triceratops,Young Copper Dragon,69.7%,30.3%
Tyrannosaurus Rex,Young Silver Dragon,69.7%,30.3%
Adult Green Dragon,Fire Giant,30.3%,69.7%
Ankheg,Manticore,30.3%,69.7%
Brown Bear,Ghast,30.3%,69.7%
Chuul,Elephant,30.3%,69.7%
Cult Fanatic,Orc,30.3%,69.7%
Darkmantle,Satyr,30.3%,69.7%
Djinni,Treant,30.3%,69.7%
Ghast,Giant Elk,30.3%,69.7%
Giant Spider,Swarm of Poisonous Snakes,30.3%,69.7%
Gnoll,Swarm of Beetles,30.3%,69.7%
Gnoll,Swarm of Centipedes,30.3%,69.7%
Gnoll,Swarm of Insects,30.3%,69.7%
Gnoll,Swarm of Spiders,30.3%,69.7%
Gnoll,Swarm of Wasps,30.3%,69.7%
Ogre Zombie,Red Dragon Wyrmling,30.3%,69.7%
Orc,Warhorse Skeleton,30.3%,69.7%
Plesiosaurus,Wraith,30.3%,69.7%
Succubus/Incubus,"Wereboar, Human Form",30.3%,69.7%
Cockatrice,Giant Frog,69.8%,30.2%
Elk,Noble,69.8%,30.2%
Giant Shark,Young Green Dragon,69.8%,30.2%
Glabrezu,Treant,69.8%,30.2%
Green Hag,Oni,69.8%,30.2%
Hydra,Shambling Mound,69.8%,30.2%
Will-o'-Wisp,Worg,69.8%,30.2%
Bandit Captain,Ghost,30.2%,69.8%
Basilisk,Veteran,30.2%,69.8%
Flesh Golem,Vrock,30.2%,69.8%
Giant Crocodile,Young White Dragon,30.2%,69.8%
Giant Owl,Specter,30.2%,69.8%
Grick,Swarm of Quippers,30.2%,69.8%
Manticore,Ogre,30.2%,69.8%
Unicorn,"Weretiger, Hybrid Form",30.2%,69.8%
Unicorn,"Weretiger, Tiger Form",30.2%,69.8%
Baboon,Octopus,69.9%,30.1%
Brass Dragon Wyrmling,Giant Owl,69.9%,30.1%
Flying Sword,Swarm of Rats,69.9%,30.1%
Giant Constrictor Snake,Hunter Shark,69.9%,30.1%
Gladiator,Green Hag,69.9%,30.1%
Jackal,Octopus,69.9%,30.1%
Reef Shark,Swarm of Rats,69.9%,30.1%
Swarm of Poisonous Snakes,"Werewolf, Human Form",69.9%,30.1%
Aboleth,Djinni,30.1%,69.9%
Ape,Giant Eagle,30.1%,69.9%
Berserker,Spirit Naga,30.1%,69.9%
Blood Hawk,Dretch,30.1%,69.9%
Centaur,Manticore,30.1%,69.9%
Couatl,Guardian Naga,30.1%,69.9%
Crocodile,Specter,30.1%,69.9%
Flying Sword,Giant Eagle,30.1%,69.9%
Gargoyle,Giant Hyena,30.1%,69.9%
Mummy,Pegasus,30.1%,69.9%
Specter,Swarm of Poisonous Snakes,30.1%,69.9%
Ankheg,Hunter Shark,30.0%,70.0%
Bandit,Giant Frog,30.0%,70.0%
Brass Dragon Wyrmling,Crocodile,70.0%,30.0%
Brass Dragon Wyrmling,Grick,30.0%,70.0%
Bugbear,Griffon,30.0%,70.0%
Cockatrice,Cult Fanatic,30.0%,70.0%
Death Dog,Grick,30.0%,70.0%
Gargoyle,Warhorse Skeleton,70.0%,30.0%
Horned Devil,Tyrannosaurus Rex,30.0%,70.0%
Ice Devil,Young Bronze Dragon,70.0%,30.0%
Kraken,Remorhaz,70.0%,30.0%
Ogre,Pegasus,70.0%,30.0%
Orc,Phase Spider,30.0%,70.0%
Ancient Brass Dragon,Balor,70.1%,29.9%
Bandit,Steam Mephit,70.1%,29.9%
Bandit Captain,Centaur,70.1%,29.9%
Deva,Otyugh,70.1%,29.9%
Ghoul,Giant Owl,70.1%,29.9%
Giant Owl,Giant Poisonous Snake,70.1%,29.9%
Tiger,Wight,70.1%,29.9%
Blink Dog,Reef Shark,29.9%,70.1%
Boar,Magmin,29.9%,70.1%
Cultist,Imp,29.9%,70.1%
Ghoul,Giant Spider,29.9%,70.1%
Ettercap,Phase Spider,70.2%,29.8%
Giant Spider,Swarm of Beetles,70.2%,29.8%
Giant Spider,Swarm of Centipedes,70.2%,29.8%
Giant Spider,Swarm of Insects,70.2%,29.8%
Giant Spider,Swarm of Spiders,70.2%,29.8%
Giant Spider,Swarm of Wasps,70.2%,29.8%
Gold Dragon Wyrmling,Half-Red Dragon Veteran,70.2%,29.8%
Rhinoceros,Sea Hag,70.2%,29.8%
Berserker,Knight,29.8%,70.2%
Black Pudding,Giant Octopus,29.8%,70.2%
Bugbear,Giant Elk,29.8%,70.2%
Dire Wolf,Saber-Toothed Tiger,29.8%,70.2%
Eagle,Lemure,29.8%,70.2%
Giant Badger,Magma Mephit,29.8%,70.2%
Homunculus,Vulture,29.8%,70.2%
Ice Mephit,Riding Horse,29.8%,70.2%
Minotaur Skeleton,Rakshasa,29.8%,70.2%
Young Copper Dragon,Young Green Dragon,29.8%,70.2%
Barbed Devil,Unicorn,70.3%,29.7%
Basilisk,Merrow,70.3%,29.7%
Black Bear,Guard,70.3%,29.7%
Clay Golem,Mummy Lord,70.3%,29.7%
Copper Dragon Wyrmling,Satyr,70.3%,29.7%
Duergar,Satyr,70.3%,29.7%
Flying Sword,Swarm of Bats,70.3%,29.7%
Night Hag,"Werebear, Bear Form",70.3%,29.7%
Night Hag,"Werebear, Hybrid Form",70.3%,29.7%
Blink Dog,Darkmantle,29.7%,70.3%
Giant Frog,Hobgoblin,29.7%,70.3%
Quasit,Wolf,29.7%,70.3%
Archmage,Bronze Dragon Wyrmling,70.4%,29.6%
Behir,Tyrannosaurus Rex,70.4%,29.6%
Cloaker,Half-Red Dragon Veteran,70.4%,29.6%
Darkmantle,Giant Lizard,70.4%,29.6%
Earth Elemental,Mummy Lord,70.4%,29.6%
Swarm of Beetles,Thug,70.4%,29.6%
Swarm of Centipedes,Thug,70.4%,29.6%
Swarm of Insects,Thug,70.4%,29.6%
Swarm of Spiders,Thug,70.4%,29.6%
Swarm of Wasps,Thug,70.4%,29.6%
"Vampire, Vampire Form",Water Elemental,70.4%,29.6%
Chuul,Xorn,29.6%,70.4%
Crocodile,Mage,29.6%,70.4%
Dire Wolf,Gelatinous Cube,29.6%,70.4%
Gargoyle,Hell Hound,29.6%,70.4%
Giant Hyena,Hunter Shark,29.6%,70.4%
Adult Copper Dragon,Young Gold Dragon,70.5%,29.5%
Adult Copper Dragon,Young Red Dragon,70.5%,29.5%
Bearded Devil,Polar Bear,29.5%,70.5%
Blink Dog,Skeleton,70.5%,29.5%
Clay Golem,Young Green Dragon,29.5%,70.5%
Dretch,Giant Crab,29.5%,70.5%
Efreeti,Young Silver Dragon,29.5%,70.5%
Giant Ape,Horned Devil,29.5%,70.5%
Giant Elk,Vampire Spawn,29.5%,70.5%
Giant Owl,Satyr,29.5%,70.5%
Hell Hound,Succubus/Incubus,29.5%,70.5%
Lamia,Red Dragon Wyrmling,70.5%,29.5%
Mage,Swarm of Ravens,70.5%,29.5%
Salamander,Xorn,29.5%,70.5%
Axe Beak,Drow,70.6%,29.4%
Basilisk,Green Dragon Wyrmling,70.6%,29.4%
Berserker,Saber-Toothed Tiger,70.6%,29.4%
Duergar,Mage,70.6%,29.4%
Scout,Skeleton,70.6%,29.4%
Dire Wolf,Succubus/Incubus,29.4%,70.6%
Dust Mephit,Swarm of Bats,29.4%,70.6%
Giant Eagle,Grick,29.4%,70.6%
Hydra,Young White Dragon,29.4%,70.6%
Ape,Axe Beak,70.7%,29.3%
Assassin,Spirit Naga,29.3%,70.7%
Blue Dragon Wyrmling,Spirit Naga,29.3%,70.7%
Bronze Dragon Wyrmling,Saber-Toothed Tiger,29.3%,70.7%
Cult Fanatic,Riding Horse,70.7%,29.3%
Deep Gnome (Svirfneblin),Giant Eagle,29.3%,70.7%
Drow,Giant Wasp,70.7%,29.3%
Drow,Panther,70.7%,29.3%
Elephant,"Werebear, Bear Form",29.3%,70.7%
Elephant,"Werebear, Hybrid Form",29.3%,70.7%
Ettin,Otyugh,29.3%,70.7%
Giant Eagle,Thug,70.7%,29.3%
Green Dragon Wyrmling,Griffon,29.3%,70.7%
Guard,Swarm of Rats,29.3%,70.7%
Hobgoblin,Thug,29.3%,70.7%
Kobold,Quasit,29.3%,70.7%
Deva,Green Hag,70.8%,29.2%
Drow,Druid,70.8%,29.2%
Ghoul,Shadow,70.8%,29.2%
Harpy,Swarm of Ravens,70.8%,29.2%
Nightmare,Ogre Zombie,70.8%,29.2%
Rakshasa,Vrock,70.8%,29.2%
Satyr,Swarm of Ravens,70.8%,29.2%
Wolf,Zombie,70.8%,29.2%
Balor,Solar,29.2%,70.8%
Dryad,Imp,29.2%,70.8%
Erinyes,Hezrou,29.2%,70.8%
Ghast,Griffon,29.2%,70.8%
Giant Wolf Spider,Skeleton,29.2%,70.8%
Mummy,Silver Dragon Wyrmling,29.2%,70.8%
Adult White Dragon,Stone Golem,70.9%,29.1%
Ape,Hobgoblin,70.9%,29.1%
Bandit,Pseudodragon,70.9%,29.1%
Basilisk,Centaur,70.9%,29.1%
Bearded Devil,Tiger,70.9%,29.1%
Djinni,Young White Dragon,70.9%,29.1%
Flying Sword,Giant Poisonous Snake,70.9%,29.1%
Hezrou,Mummy Lord,70.9%,29.1%
Invisible Stalker,Plesiosaurus,70.9%,29.1%
Adult Gold Dragon,Balor,29.1%,70.9%
Adult Red Dragon,Balor,29.1%,70.9%
Air Elemental,Night Hag,29.1%,70.9%
Bronze Dragon Wyrmling,Sea Hag,29.1%,70.9%
Cockatrice,Swarm of Bats,29.1%,70.9%
Darkmantle,Warhorse,29.1%,70.9%
Giant Centipede,Mule,29.1%,70.9%
Giant Eagle,Giant Toad,29.1%,70.9%
Giant Hyena,Sea Hag,29.1%,70.9%
Gibbering Mouther,Troll,29.1%,70.9%
Wight,Will-o'-Wisp,29.1%,70.9%
Bulette,Giant Shark,71.0%,29.0%
Giant Poisonous Snake,Magmin,71.0%,29.0%
Giant Scorpion,White Dragon Wyrmling,71.0%,29.0%
Ogre,"Wereboar, Human Form",71.0%,29.0%
Black Bear,Shadow,29.0%,71.0%
Cult Fanatic,Ghoul,29.0%,71.0%
Draft Horse,Grick,29.0%,71.0%
Flesh Golem,Oni,29.0%,71.0%
Nalfeshnee,Remorhaz,29.0%,71.0%
"Werewolf, Human Form",Will-o'-Wisp,29.0%,71.0%
Chain Devil,Vrock,71.1%,28.9%
Couatl,Wraith,71.1%,28.9%
Giant Frog,Goblin,71.1%,28.9%
Giant Octopus,Swarm of Quippers,71.1%,28.9%
Goblin,Steam Mephit,71.1%,28.9%
Half-Red Dragon Veteran,Pegasus,71.1%,28.9%
Bandit,Wolf,28.9%,71.1%
Bandit Captain,"Wereboar, Human Form",28.9%,71.1%
Basilisk,Blue Dragon Wyrmling,28.9%,71.1%
Giant Crocodile,Gynosphinx,28.9%,71.1%
Reef Shark,Specter,28.9%,71.1%
Sea Hag,Vampire Spawn,28.9%,71.1%
Tribal Warrior,Wolf,28.9%,71.1%
Aboleth,Hydra,71.2%,28.8%
Archmage,Hell Hound,71.2%,28.8%
Bandit,Mule,71.2%,28.8%
Cat,Sprite,28.8%,71.2%
Death Dog,Worg,28.8%,71.2%
Djinni,Lich,71.2%,28.8%
Dretch,Elk,28.8%,71.2%
Dryad,Pseudodragon,71.2%,28.8%
Giant Goat,Hobgoblin,71.2%,28.8%
Giant Vulture,"Wererat, Human Form",28.8%,71.2%
Gray Ooze,Priest,28.8%,71.2%
Knight,Minotaur Skeleton,28.8%,71.2%
Lemure,Pseudodragon,28.8%,71.2%
Quasit,Zombie,28.8%,71.2%
Spy,Warhorse,28.8%,71.2%
Swarm of Beetles,Swarm of Ravens,71.2%,28.8%
Swarm of Centipedes,Swarm of Ravens,71.2%,28.8%
Swarm of Insects,Swarm of Ravens,71.2%,28.8%
Bandit Captain,Polar Bear,71.3%,28.7%
Elk,Magma Mephit,71.3%,28.7%
Frost Giant,Marilith,71.3%,28.7%
Giant Octopus,Giant Scorpion,71.3%,28.7%
Hobgoblin,Magmin,71.3%,28.7%
Mammoth,Young Bronze Dragon,71.3%,28.7%
Bandit,Gray Ooze,28.7%,71.3%
Bandit,Zombie,28.7%,71.3%
Blood Hawk,Imp,28.7%,71.3%
Bronze Dragon Wyrmling,Hunter Shark,28.7%,71.3%
Dretch,Giant Sea Horse,28.7%,71.3%
Giant Crab,Swarm of Rats,28.7%,71.3%
Giant Poisonous Snake,Rust Monster,28.7%,71.3%
Giant Rat,Imp,28.7%,71.3%
Giant Rat (Diseased),Imp,28.7%,71.3%
Medusa,Spirit Naga,28.7%,71.3%
Tribal Warrior,Zombie,28.7%,71.3%
Half-Red Dragon Veteran,Rhinoceros,71.4%,28.6%
Hobgoblin,Panther,71.4%,28.6%
Deer,Mastiff,28.6%,71.4%
Elephant,Night Hag,28.6%,71.4%
Gelatinous Cube,Vampire Spawn,28.6%,71.4%
Giant Owl,Mage,28.6%,71.4%
Goblin,Priest,28.6%,71.4%
Grimlock,Priest,28.6%,71.4%
Killer Whale,Shield Guardian,28.6%,71.4%
"Weretiger, Human Form",Winter Wolf,28.6%,71.4%
Adult Green Dragon,Adult White Dragon,71.5%,28.5%
Brown Bear,Copper Dragon Wyrmling,71.5%,28.5%
Giant Bat,Swarm of Bats,71.5%,28.5%
Giant Weasel,Violet Fungus,71.5%,28.5%
Gibbering Mouther,"Wereboar, Human Form",71.5%,28.5%
Lizardfolk,Swarm of Bats,71.5%,28.5%
Merfolk,Stirge,71.5%,28.5%
Swarm of Poisonous Snakes,Wight,71.5%,28.5%
Swarm of Quippers,"Werewolf, Hybrid Form",71.5%,28.5%
Swarm of Quippers,"Werewolf, Wolf Form",71.5%,28.5%
Bandit,Magma Mephit,28.5%,71.5%
Basilisk,Pegasus,28.5%,71.5%
Black Bear,Crocodile,28.5%,71.5%
Bone Devil,Earth Elemental,28.5%,71.5%
Constrictor Snake,Cult Fanatic,28.5%,71.5%
Giant Eagle,Warhorse Skeleton,28.5%,71.5%
Giant Fire Beetle,Mastiff,28.5%,71.5%
Giant Poisonous Snake,Swarm of Ravens,28.5%,71.5%
Minotaur,"Vampire, Bat Form",28.5%,71.5%
Specter,White Dragon Wyrmling,28.5%,71.5%
Adult Green Dragon,Androsphinx,71.6%,28.4%
Basilisk,Giant Hyena,71.6%,28.4%
Black Bear,Constrictor Snake,71.6%,28.4%
Black Bear,Giant Wasp,71.6%,28.4%
Black Bear,Panther,71.6%,28.4%
Dretch,Gray Ooze,28.4%,71.6%
Dretch,Zombie,28.4%,71.6%
Horned Devil,Stone Golem,28.4%,71.6%
Lemure,Merfolk,28.4%,71.6%
Animated Armor,Phase Spider,71.7%,28.3%
Archmage,Swarm of Quippers,71.7%,28.3%
Black Bear,Druid,71.7%,28.3%
Centaur,Will-o'-Wisp,71.7%,28.3%
Giant Toad,Will-o'-Wisp,28.3%,71.7%
Gibbering Mouther,Manticore,71.7%,28.3%
Gold Dragon Wyrmling,Owlbear,71.7%,28.3%
Mage,Phase Spider,28.3%,71.7%
Nalfeshnee,Planetar,71.7%,28.3%
Air Elemental,Otyugh,71.8%,28.2%
Basilisk,Hell Hound,71.8%,28.2%
Draft Horse,Flying Sword,71.8%,28.2%
Draft Horse,Spy,71.8%,28.2%
Erinyes,"Werebear, Bear Form",71.8%,28.2%
Erinyes,"Werebear, Hybrid Form",71.8%,28.2%
Frost Giant,Young Blue Dragon,71.8%,28.2%
Gibbering Mouther,Hunter Shark,71.8%,28.2%
Green Dragon Wyrmling,Swarm of Poisonous Snakes,71.8%,28.2%
Priest,Sahuagin,71.8%,28.2%
Red Dragon Wyrmling,"Weretiger, Hybrid Form",71.8%,28.2%
Red Dragon Wyrmling,"Weretiger, Tiger Form",71.8%,28.2%
Animated Armor,Bronze Dragon Wyrmling,28.2%,71.8%
Brown Bear,Swarm of Quippers,28.2%,71.8%
Fire Elemental,Lamia,28.2%,71.8%
Flying Sword,Mage,28.2%,71.8%
Giant Scorpion,Mummy,28.2%,71.8%
Hunter Shark,Unicorn,28.2%,71.8%
Merrow,Saber-Toothed Tiger,28.2%,71.8%
Assassin,Sea Hag,71.9%,28.1%
Azer,Tiger,71.9%,28.1%
Dust Mephit,Ice Mephit,71.9%,28.1%
Giant Badger,Steam Mephit,71.9%,28.1%
Giant Goat,Giant Lizard,71.9%,28.1%
Giant Scorpion,Swarm of Poisonous Snakes,71.9%,28.1%
Giant Sea Horse,Goblin,71.9%,28.1%
Basilisk,Silver Dragon Wyrmling,28.1%,71.9%
Bat,Crab,28.1%,71.9%
Deep Gnome (Svirfneblin),Lion,28.1%,71.9%
Dire Wolf,Sea Hag,28.1%,71.9%
Drider,Vampire Spawn,28.1%,71.9%
Elk,Giant Lizard,28.1%,71.9%
Giant Crocodile,Lich,28.1%,71.9%
Magmin,Shadow,28.1%,71.9%
Satyr,Worg,28.1%,71.9%
Axe Beak,Thug,28.0%,72.0%
Darkmantle,Harpy,28.0%,72.0%
Giant Bat,"Wererat, Human Form",28.0%,72.0%
Goblin,Hobgoblin,28.0%,72.0%
Gray Ooze,Hobgoblin,28.0%,72.0%
Lizardfolk,"Wererat, Human Form",28.0%,72.0%
Mammoth,Young Silver Dragon,28.0%,72.0%
Oni,Xorn,28.0%,72.0%
Swarm of Bats,Swarm of Ravens,28.0%,72.0%
Adult White Dragon,Tyrannosaurus Rex,72.0%,28.0%
Ankheg,Black Dragon Wyrmling,72.0%,28.0%
Basilisk,Polar Bear,72.0%,28.0%
Dryad,Mule,72.0%,28.0%
Earth Elemental,Young Brass Dragon,72.0%,28.0%
Green Dragon Wyrmling,"Werewolf, Hybrid Form",72.0%,28.0%
Green Dragon Wyrmling,"Werewolf, Wolf Form",72.0%,28.0%
Rhinoceros,Saber-Toothed Tiger,72.0%,28.0%
Cult Fanatic,Priest,72.1%,27.9%
Ghast,Swarm of Poisonous Snakes,72.1%,27.9%
Grimlock,Violet Fungus,72.1%,27.9%
Half-Red Dragon Veteran,"Wereboar, Boar Form",72.1%,27.9%
Half-Red Dragon Veteran,"Wereboar, Hybrid Form",72.1%,27.9%
Hippogriff,Lizardfolk,72.1%,27.9%
Hobgoblin,Imp,72.1%,27.9%
Marilith,Roper,72.1%,27.9%
Otyugh,Wyvern,72.1%,27.9%
Bandit,Giant Sea Horse,27.9%,72.1%
Brown Bear,"Werewolf, Hybrid Form",27.9%,72.1%
Brown Bear,"Werewolf, Wolf Form",27.9%,72.1%
Cult Fanatic,Hippogriff,27.9%,72.1%
Gargoyle,Mimic,27.9%,72.1%
Green Hag,"Werebear, Bear Form",27.9%,72.1%
Green Hag,"Werebear, Hybrid Form",27.9%,72.1%
Harpy,Phase Spider,27.9%,72.1%
Magma Mephit,Priest,27.9%,72.1%
Merrow,Sea Hag,27.9%,72.1%
Azer,Basilisk,27.8%,72.2%
Barbed Devil,Minotaur Skeleton,27.8%,72.2%
Bugbear,Succubus/Incubus,27.8%,72.2%
Ettercap,Swarm of Quippers,27.8%,72.2%
Griffon,Pegasus,27.8%,72.2%
Hippogriff,Phase Spider,27.8%,72.2%
Hunter Shark,Spirit Naga,27.8%,72.2%
Magmin,Orc,27.8%,72.2%
Berserker,Giant Elk,72.2%,27.8%
Giant Eagle,Rust Monster,72.2%,27.8%
Mage,Orc,72.2%,27.8%
Ancient Blue Dragon,Ancient Bronze Dragon,72.3%,27.7%
Animated Armor,Giant Spider,72.3%,27.7%
Archmage,Dire Wolf,72.3%,27.7%
Bandit Captain,Berserker,27.7%,72.3%
Black Bear,Giant Bat,27.7%,72.3%
Black Bear,Lizardfolk,27.7%,72.3%
Black Dragon Wyrmling,Worg,72.3%,27.7%
Bronze Dragon Wyrmling,"Werewolf, Hybrid Form",72.3%,27.7%
Bronze Dragon Wyrmling,"Werewolf, Wolf Form",72.3%,27.7%
Chimera,Wyvern,72.3%,27.7%
Cult Fanatic,Spy,27.7%,72.3%
Drow,Giant Crab,72.3%,27.7%
Drow,Orc,27.7%,72.3%
Druid,Goblin,72.3%,27.7%
Ghoul,Giant Lizard,72.3%,27.7%
Giant Owl,Swarm of Bats,72.3%,27.7%
Giant Spider,Will-o'-Wisp,27.7%,72.3%
Gibbering Mouther,Rhinoceros,72.3%,27.7%
Green Hag,"Werebear, Human Form",72.3%,27.7%
Lizard,Quipper,72.3%,27.7%
Lizard,Weasel,72.3%,27.7%
Androsphinx,Stone Golem,72.4%,27.6%
Axe Beak,Scout,72.4%,27.6%
Black Bear,Sahuagin,72.4%,27.6%
Brass Dragon Wyrmling,Giant Bat,72.4%,27.6%
Brass Dragon Wyrmling,Lizardfolk,72.4%,27.6%
Clay Golem,Giant Crocodile,72.4%,27.6%
Doppelganger,Giant Boar,72.4%,27.6%
Gargoyle,Worg,72.4%,27.6%
Giant Toad,Warhorse,72.4%,27.6%
Harpy,Hippogriff,72.4%,27.6%
Hobgoblin,Priest,72.4%,27.6%
Baboon,Giant Fire Beetle,27.6%,72.4%
Bandit Captain,Silver Dragon Wyrmling,27.6%,72.4%
Commoner,Giant Centipede,27.6%,72.4%
Crab,Poisonous Snake,27.6%,72.4%
Flying Snake,Hyena,27.6%,72.4%
Giant Shark,Marilith,27.6%,72.4%
Green Dragon Wyrmling,Succubus/Incubus,27.6%,72.4%
Dire Wolf,Hunter Shark,27.5%,72.5%
Giant Badger,Giant Sea Horse,27.5%,72.5%
Giant Crocodile,Young Black Dragon,27.5%,72.5%
Ankheg,Black Pudding,72.5%,27.5%
Baboon,Sprite,72.5%,27.5%
Drow,Giant Sea Horse,72.5%,27.5%
Efreeti,Stone Giant,72.5%,27.5%
Ettercap,Giant Spider,72.5%,27.5%
Green Hag,Vrock,72.5%,27.5%
Grick,Specter,72.5%,27.5%
Jackal,Sprite,72.5%,27.5%
Owlbear,Veteran,72.5%,27.5%
Stone Golem,Young Silver Dragon,72.5%,27.5%
Chuul,Invisible Stalker,72.6%,27.4%
Deep Gnome (Svirfneblin),Giant Poisonous Snake,72.6%,27.4%
Doppelganger,Swarm of Quippers,72.6%,27.4%
Ghast,Tiger,72.6%,27.4%
Ghost,Hunter Shark,72.6%,27.4%
Bone Devil,Young White Dragon,27.4%,72.6%
Chain Devil,Deva,27.4%,72.6%
Dretch,Skeleton,27.4%,72.6%
Giant Boar,Saber-Toothed Tiger,27.4%,72.6%
Giant Lizard,Swarm of Beetles,27.4%,72.6%
Giant Lizard,Swarm of Centipedes,27.4%,72.6%
Giant Lizard,Swarm of Insects,27.4%,72.6%
Giant Lizard,Swarm of Spiders,27.4%,72.6%
Giant Lizard,Swarm of Wasps,27.4%,72.6%
Magma Mephit,Scout,27.4%,72.6%
Manticore,Owlbear,27.4%,72.6%
"Werewolf, Human Form","Werewolf, Hybrid Form",27.4%,72.6%
"Werewolf, Human Form","Werewolf, Wolf Form",27.4%,72.6%
